title,views,date,url,keyword
신hsk4급 난이도 ㅠㅠ,2065,2013.06.14,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=174632220&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0,문정아
중국어 户外运动的着装不是以美观为主，而是首先要考虑到实用性。 질문입니다.,154,2015.10.15,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080502&docId=236480538&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0,문정아
중국어 한국어로 발ㅇㅁ도 써주시고 뜻도 알려주세요,2193,2015.11.29,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080504&docId=239592127&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0,문정아
"중국어 배우기,인강",1674,2015.07.29,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=230672659&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0,문정아
중국어 공부 hsk? vs 회화,2034,2015.12.06,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=240047769&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0,문정아
중국어 공부 혼자하려는데 도와주세요ㅠㅠ,1936,2014.07.09,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=201741955&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=26&search_sort=0&spq=0,문정아
중국어 한자 외워야 되는거죠?,4347,2015.04.20,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=223368097&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=27&search_sort=0&spq=0,문정아
hsk6급 기간( 100 ),1438,2015.07.24,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=230318508&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=28&search_sort=0&spq=0,문정아
중국어 hsk 초급,149,2015.11.09,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=238178867&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=29&search_sort=0&spq=0,문정아
중국어 학원 강주영 선생님을 아시는 분? 저는 이번 여름에 신HSK 5급에 도전하려는데요...,206,2012.06.16,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=153151558&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0,문정아
신 hsk 6급 독학하는 방법,18150,2011.12.12,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=141593030&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0,문정아
중국어 공부,6134,2011.03.08,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=126920997&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0,문정아
왕초보 중국어 인강,1162,2015.12.20,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=241022975&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0,문정아
중국어공부하고있는데 드라마나 영화추천부탁드려요(내공10),3044,2011.03.10,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080505&docId=127014407&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0,문정아
"중국어 중급 교재, 강의 추천해주세요",4109,2011.03.11,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=127036425&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0,문정아
신 HSK 3급 or  4급??,2354,2013.08.31,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=179676824&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0,문정아
중국어 공부 시작하기,241,2013.12.30,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=187515824&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=37&search_sort=0&spq=0,문정아
중국어초보,408,2013.12.30,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=187550749&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=38&search_sort=0&spq=0,문정아
중국어 아무것도 모르는 학생입니다!,297,2013.08.15,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=178633430&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=39&search_sort=0&spq=0,문정아
중국어 공부 도전!!,296,2015.02.28,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=218999257&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=40&search_sort=0&spq=0,문정아
종로+강남쪽 중국어학원 추천좀,3122,2011.01.10,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=123117128&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=41&search_sort=0&spq=0,문정아
중국어회화 시작하려고~!,3411,2014.03.05,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080505&docId=192633085&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=42&search_sort=0&spq=0,문정아
중국어회화 고민중~!,3935,2014.03.07,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080505&docId=192916420&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=43&search_sort=0&spq=0,문정아
생초보 초보 완전 초보 중국어 배우고 싶은데요 책 추천 해주세요,1144,2012.02.26,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=146567068&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=44&search_sort=0&spq=0,문정아
hsk4급 시작하려구요,5680,2014.01.16,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=188850722&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=45&search_sort=0&spq=0,문정아
신HSK 4급 독학 가능할까용?,4628,2011.06.26,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=132731460&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=46&search_sort=0&spq=0,문정아
중국어를 완전 처음배우는데요......(내공100),581,2013.08.31,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=179732337&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=47&search_sort=0&spq=0,문정아
어떤방법으로공부를할까요,323,2011.03.15,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=127248400&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=48&search_sort=0&spq=0,문정아
중국어 신HSK 자격증 다시 도전하려 하는데요..,1588,2015.02.23,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=218943825&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=49&search_sort=0&spq=0,문정아
중국어로 일기쓰기 (번역 부탁드립니다),184,2015.08.05,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080504&docId=231230597&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=50&search_sort=0&spq=0,문정아
대전에 있는 중국어학원 추천좀요~,3313,2011.03.11,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=127033412&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=51&search_sort=0&spq=0,문정아
중국어 생초보 입문 수능특강 괜찮을까요?,852,2013.08.31,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=179696924&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=52&search_sort=0&spq=0,문정아
부평중국어 학원 급해요!!!!!!!!어디가 괜찮나요?,8558,2013.11.25,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=185256018&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=53&search_sort=0&spq=0,문정아
학원에 가지 않고 중국어를 배우고 싶어요...,800,2011.03.09,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=126966135&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=54&search_sort=0&spq=0,문정아
중국에서 hsk인강 가능한가요?,406,2011.12.08,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=141368133&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=55&search_sort=0&spq=0,문정아
중국어로 대학 가기 ~,4769,2011.03.13,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=127148744&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=56&search_sort=0&spq=0,문정아
중국어책추천,92,2013.12.29,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=187467330&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=57&search_sort=0&spq=0,문정아
중국어 HSK 문제 부탁드립니다. 내공80 걸게요 빨리부탁드립니다.,320,2011.04.20,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=129183997&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=58&search_sort=0&spq=0,문정아
중국어 공부,686,2012.01.27,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=144355079&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=59&search_sort=0&spq=0,문정아
중국어 공부,395,2012.02.22,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=146299095&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=60&search_sort=0&spq=0,문정아
신 hsk4급 공부~!! 제 궁금증 좀 풀어주세요!!ㅠㅠ,1738,2012.02.17,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=145918809&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=61&search_sort=0&spq=0,문정아
신hsk 어디가 괜찮아요?,928,2011.10.25,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=139086520&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=62&search_sort=0&spq=0,문정아
HSK6급 {중국어 공부법..},1769,2011.04.24,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=129387801&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=63&search_sort=0&spq=0,문정아
안녕하세요~중국어에대해서 질문좀요~ㄱ,781,2011.03.03,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=126659509&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=64&search_sort=0&spq=0,문정아
신HSK4급 교재 추천!,1710,2012.11.12,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=161612850&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=65&search_sort=0&spq=0,문정아
중국어 독학,274,2015.08.09,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=231608838&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=66&search_sort=0&spq=0,문정아
강릉에서 중국어회화랑 HSK 배울만한 학원 없나요?,742,2013.01.03,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=164470103&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=67&search_sort=0&spq=0,문정아
중국어 교재 단계별로 추천좀요  아무것도몰르는상태에서,537,2014.01.29,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=189975952&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=68&search_sort=0&spq=0,문정아
"HSK 5급이 10월까지 필요한데, 이번 4급시험에서 간당간당한거같아요",2263,2011.07.25,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=134222180&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=69&search_sort=0&spq=0,문정아
중국어 완전초보..,629,2015.07.30,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=230768712&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=70&search_sort=0&spq=0,문정아
hsk 5급딸수 있겠죠?,2538,2014.01.06,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=188014486&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=71&search_sort=0&spq=0,문정아
중국어기초문제집,557,2013.12.23,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=187121887&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=72&search_sort=0&spq=0,문정아
hsk4급 중국어공부 할건데요~,4282,2014.03.13,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=193335373&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=73&search_sort=0&spq=0,문정아
hsk4급 중국어공부 어떻게할지??,5202,2014.03.20,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080501&docId=193199125&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=74&search_sort=0&spq=0,문정아
hsk6급 이점수로 시험을 봐도 될까요?,1239,2011.03.14,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=127235360&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=75&search_sort=0&spq=0,문정아
회사원 중국어공부 어떡하나요?,1154,2012.02.13,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=145564832&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=76&search_sort=0&spq=0,문정아
hsk5급 관련 질문,336,2015.11.20,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=238977036&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=77&search_sort=0&spq=0,문정아
중국어공부,106,2014.06.23,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=200601377&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=78&search_sort=0&spq=0,문정아
hsk인터넷강의 추천좀해주세요,1659,2014.01.08,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=188160739&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=79&search_sort=0&spq=0,문정아
hsk 공부방법,979,2012.03.26,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=148389831&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=80&search_sort=0&spq=0,문정아
중국어HSK,773,2013.07.24,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=177169284&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=81&search_sort=0&spq=0,문정아
신HSK 3급/4급 질문여!!!!,9598,2011.04.20,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=129170065&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=82&search_sort=0&spq=0,문정아
hsk 5급 따려면,6274,2011.04.13,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=128796093&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=83&search_sort=0&spq=0,문정아
hsk5급 교재추천!,3266,2012.03.26,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=148391568&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=84&search_sort=0&spq=0,문정아
중국어 배우기,751,2011.05.17,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080504&docId=130628636&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=85&search_sort=0&spq=0,문정아
중국어 배우기,42,2015.10.07,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=235956836&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=86&search_sort=0&spq=0,문정아
중국어 hsk 급수 낮은거 질문할게요,3178,2013.01.01,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=164318122&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=87&search_sort=0&spq=0,문정아
중국어 문의입니다,266,2015.09.01,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=233379032&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=88&search_sort=0&spq=0,문정아
중국어 배워서 대화하려면 몇년정도?,60,2011.09.18,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080505&docId=137177504&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=89&search_sort=0&spq=0,문정아
중국어 필요성?,2668,2012.05.21,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=151617975&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=90&search_sort=0&spq=0,문정아
hsk5급,536,2015.03.31,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=221843954&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=91&search_sort=0&spq=0,문정아
중국어 책 추천,4643,2014.02.28,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=192383222&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=92&search_sort=0&spq=0,문정아
hsk급수 딸려고 준비하고 싶은데?,98,2012.12.19,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=163611191&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=93&search_sort=0&spq=0,문정아
[내공有]중국어를 배우고자 하는 한 대학생입니다!,189,2012.12.15,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=163394675&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=94&search_sort=0&spq=0,문정아
제 2의 언어를 배울려고 하는데..,183,2013.03.06,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=168628681&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=95&search_sort=0&spq=0,문정아
중국어 학원(고급) 추천해주세요! (내공100추가),993,2012.02.06,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=145078878&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=96&search_sort=0&spq=0,문정아
네이버 중국어 공부 질문입니다.,279,2015.10.05,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=235790946&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=97&search_sort=0&spq=0,문정아
중국어 인터넷 강의,395,2015.12.15,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=240673815&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=98&search_sort=0&spq=0,문정아
중국어자격증 신hsk,781,2015.01.12,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=215205788&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=99&search_sort=0&spq=0,문정아
초보 중국어 공부법 질문입니다,640,2015.12.17,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=240874306&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=100&search_sort=0&spq=0,문정아
hsk유효기간,9208,2015.07.25,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=230384175&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=101&search_sort=0&spq=0,문정아
중국어 공부 관련 질문,109,2015.07.05,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=228852098&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=102&search_sort=0&spq=0,문정아
중국어 공부에 관해 질문드려요.,52,2015.06.29,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=228444346&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=103&search_sort=0&spq=0,문정아
중국어 인터넷강의 추천좀 해주세요,531,2015.01.19,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=215845430&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=104&search_sort=0&spq=0,문정아
"강남역, 교대역근처 직장인이 다닐만한 중국어학원 추천해주세요",2860,2015.07.20,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=229955030&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=105&search_sort=0&spq=0,문정아
중국어를 배우려고하는데,805,2015.08.15,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=232091539&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=106&search_sort=0&spq=0,문정아
hsk를 준비하기 위한 기초 중국어공부는?,255,2012.08.29,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=157451426&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=107&search_sort=0&spq=0,문정아
신hsk5급 한권으로끝내기 인강,3152,2014.03.24,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=194106786&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=108&search_sort=0&spq=0,문정아
중국어기초 책,1098,2011.09.19,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=137241621&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=109&search_sort=0&spq=0,문정아
중국어 공부독학으로 하려고 하는데,103,2014.11.13,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=210840874&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=110&search_sort=0&spq=0,문정아
영어는 박상효  중국어 일본어는?  내공(10),312,2014.12.13,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080501&docId=212946483&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=111&search_sort=0&spq=0,문정아
중국어 자격증,1017,2015.03.09,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=220190679&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=112&search_sort=0&spq=0,문정아
신 hsk 입문질문,312,2012.12.15,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=163374966&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=113&search_sort=0&spq=0,문정아
hsk 인강,718,2015.12.21,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=241091741&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=114&search_sort=0&spq=0,문정아
중국어 하나로 가질수있는 직업은 뭐가 있을까요?,666,2014.10.08,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080501&docId=208419243&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=115&search_sort=0&spq=0,문정아
중국어 인강 추천,251,2012.02.06,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=145143668&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=116&search_sort=0&spq=0,문정아
